project_id,client_id,client_name,sector,service_line,start_date,planned_end_date,actual_end_date,status,complexity,team_size,senior_staff_count,junior_staff_count,contract_value_ngn,actual_cost_ngn,delay_days,cost_overrun_pct,client_satisfaction_score,renewed_within_12m,acquisition_channel
P1066,C-PS-Client-05,PS-Client-05,Public Sector,Data Visualization & Analytics,2021-01-05,2021-03-05,2021-03-08,Completed,Low,4,2,2,7150000.0,7450000.0,3.0,0.042,3.7,No,Repeat Client
P0866,C-FAI-Client-07,FAI-Client-07,Finance and Insurance,Stakeholder Engagement,2021-01-07,2021-04-07,2021-04-10,Completed,Low,2,1,1,6530000.0,6750000.0,3.0,0.034,4.2,Yes,Competitive Tender
P1401,C-TAI-Client-07,TAI-Client-07,Technology and Innovation,Digital Transformation,2021-01-08,2021-03-08,2021-03-10,Completed,Low,4,2,2,7600000.0,7820000.0,2.0,0.029,4.3,No,Direct Outreach
P0003,C-A-Client-04,A-Client-04,Agriculture,Digital Transformation,2021-01-08,2021-03-08,2021-05-05,Completed,Medium,8,2,6,14680000.0,19880000.0,58.0,0.354,2.5,No,Competitive Tender
P0864,C-FAI-Client-08,FAI-Client-08,Finance and Insurance,Strategic Planning,2021-01-10,2021-03-10,2021-03-13,Completed,Low,2,1,1,5300000.0,5580000.0,3.0,0.052,4.1,No,Referral
P0867,C-FAI-Client-03,FAI-Client-03,Finance and Insurance,Market & Social Research,2021-01-10,2021-03-10,2021-03-11,Completed,Low,2,1,1,4660000.0,4740000.0,1.0,0.018,4.2,Yes,Competitive Tender
P1218,C-CEAT-Client-09,CEAT-Client-09,Creative Economy and Tourism,Market & Social Research,2021-01-11,2021-04-11,2021-05-19,Completed,Low,2,1,1,3890000.0,5340000.0,38.0,0.372,3.3,No,Competitive Tender
P1399,C-TAI-Client-01,TAI-Client-01,Technology and Innovation,Digital Transformation,2021-01-12,2021-04-12,2021-04-16,Completed,Low,2,1,1,5360000.0,5620000.0,4.0,0.049,4.3,No,Direct Outreach
P1219,C-CEAT-Client-05,CEAT-Client-05,Creative Economy and Tourism,Data Visualization & Analytics,2021-01-13,2021-04-13,2021-04-15,Completed,Low,4,1,3,8190000.0,8340000.0,2.0,0.018,4.6,Yes,Competitive Tender
P0002,C-A-Client-02,A-Client-02,Agriculture,Market & Social Research,2021-01-14,2021-02-14,2021-02-14,Completed,Low,2,1,1,1460000.0,1460000.0,0.0,0.0,4.1,No,Repeat Client
P1220,C-CEAT-Client-01,CEAT-Client-01,Creative Economy and Tourism,Digital Transformation,2021-01-15,2021-03-15,2021-03-18,Completed,Low,3,1,2,3780000.0,3930000.0,3.0,0.039,4.4,No,Referral
P1216,C-CEAT-Client-09,CEAT-Client-09,Creative Economy and Tourism,Data Visualization & Analytics,2021-01-15,2021-07-15,2021-07-15,Completed,High,12,5,7,63660000.0,63660000.0,0.0,0.0,4.6,Yes,Referral
